transaction_id,terminal_id,amount_inr,customer_avg_spend_90d,card_age_days,transaction_hour,merchant_category,channel,card_type,city_tier,distance_from_home_km,device_trust_score,is_international,failed_pin_attempts_24h,txn_count_last_1h,merchant_risk_score,days_since_last_chargeback,batch_number,acquirer_code,pos_software_version,is_fraud
TXN42556241,T10665,2500.0,3951.42,103,13,entertainment,online,debit,tier_2,189.9,,0,0,1,0.078,25,438,1123,4.5,1
TXN93388038,T10011,3723.37,1599.24,203,11,utilities,contactless,debit,tier_1,14.4,,0,0,1,0.198,-1,50,1113,4.5,0
TXN87829774,T11934,1653.0,2212.92,1864,16,restaurants,contactless,debit,tier_2,2.5,,0,0,2,0.168,-1,436,1121,3.1,0
TXN15282470,T11708,2919.83,11093.11,184,10,fuel,in_store,debit,tier_3,43.3,,0,0,2,0.251,-1,180,1117,3.1,0
TXN57783080,T11096,52709.0,22578.45,854,15,gaming,online,debit,tier_1,1430.1,0.798,1,0,1,0.104,246,324,1120,4.0,1
TXN95839582,T12054,702.0,619.71,551,22,jewellery,in_store,debit,tier_3,3.1,,0,2,1,0.216,23,331,1113,3.4,1
TXN10456687,T11166,3500.0,3144.56,2998,16,entertainment,in_store,debit,tier_2,0.6,,0,0,1,0.236,-1,360,1105,4.0,0
TXN85665765,T11571,4398.0,11685.33,914,22,restaurants,in_store,debit,tier_2,,,0,0,3,0.613,-1,442,1123,4.0,1
TXN63614857,T10852,12163.68,12047.99,237,16,money_transfer,online,credit,tier_1,18.5,0.778,0,0,1,0.261,-1,408,1116,4.2,0
TXN50822276,T10552,13113.0,23838.45,290,13,entertainment,online,debit,tier_1,0.7,0.563,0,0,1,0.155,-1,214,1110,4.0,0
TXN49157846,T11383,10500.0,14077.87,835,21,utilities,online,debit,tier_3,58.3,0.729,0,0,1,0.255,-1,267,1122,4.5,1
TXN36266257,T10380,257.0,,60,9,gift_cards,contactless,debit,tier_2,0.1,,0,0,1,0.701,72,158,1104,3.1,1
TXN02909383,T10107,5148.0,1374.21,156,17,restaurants,in_store,credit,tier_2,1.0,,0,0,3,0.06,-1,252,1112,4.2,0
TXN01910575,T10279,500.0,2499.94,103,14,travel,contactless,debit,tier_3,1.7,,0,0,1,0.472,116,225,1105,3.4,0
TXN88221668,T11392,12000.0,6643.58,305,21,restaurants,in_store,prepaid,tier_1,6.4,,0,0,1,0.437,121,249,1105,4.0,1
TXN07369085,T10622,299.0,1023.75,391,17,restaurants,in_store,credit,tier_1,2.5,,0,0,1,0.315,102,404,1121,4.2,1
TXN64196875,T10301,46852.0,,743,16,travel,online,prepaid,tier_1,4439.6,0.766,1,0,2,0.203,84,434,1111,4.2,1
TXN84704381,T11793,17462.22,15669.87,179,22,restaurants,online,debit,tier_3,201.6,0.859,0,0,1,0.149,-1,462,1122,4.5,0
TXN81486845,T10735,700.0,4014.88,105,15,cash_withdrawal,atm,credit,tier_3,9.7,,0,0,1,0.593,-1,449,1111,4.0,0
TXN59381113,T12368,569.0,1291.5,736,10,entertainment,contactless,debit,tier_1,12.5,,0,1,1,0.556,-1,310,1114,4.5,0
TXN95477833,T11162,500.0,,81,16,fuel,contactless,credit,tier_2,3.4,,0,0,1,0.061,43,367,1112,4.0,1
TXN36289697,T10401,12.0,11.27,251,12,electronics,online,debit,tier_2,5.1,,0,0,1,0.094,-1,321,1101,4.5,0
TXN94834553,T10845,3801.55,4902.33,431,19,apparel,in_store,debit,tier_1,3.1,,0,0,4,0.09,-1,29,1113,4.2,0
TXN42182698,T11671,18900.0,15469.45,667,20,cash_withdrawal,atm,debit,tier_2,4.2,,0,0,2,0.162,674,188,1120,3.4,1
TXN59561545,T10471,141.52,264.05,510,7,pharmacy,in_store,credit,tier_3,1.8,,0,0,4,0.425,-1,311,1111,3.1,0
TXN58014348,T11364,282.0,678.86,552,15,utilities,online,debit,tier_1,6.1,0.598,0,0,3,0.361,58,25,1107,3.1,1
TXN61516442,T11519,3300.0,2592.64,284,9,cash_withdrawal,atm,debit,tier_1,2.4,,0,0,1,0.044,-1,218,1111,4.0,0
TXN18745312,T12090,7985.67,3764.2,507,10,apparel,in_store,debit,tier_1,24.8,,0,0,3,0.424,-1,51,1117,3.1,1
TXN20860814,T12359,73.57,310.18,188,0,travel,online,debit,tier_1,10.2,0.365,0,0,1,0.472,106,440,1112,3.4,0
TXN26237786,T10672,57.15,145.41,1113,21,entertainment,online,debit,tier_1,1.6,0.341,0,0,6,0.187,-1,491,1118,4.5,1
TXN31506609,T11681,592.32,,43,20,utilities,contactless,debit,tier_1,5.9,,0,0,3,0.291,35,145,1122,3.1,1
TXN52843047,T10059,3727.32,4140.13,188,11,grocery,contactless,debit,tier_1,4.9,,0,0,1,0.064,105,123,1104,4.5,0
TXN67911339,T11735,13563.51,3849.27,4000,20,electronics,in_store,credit,tier_1,4.5,,0,0,2,0.275,76,339,1118,4.0,0
TXN14075514,T11735,338.0,317.69,218,9,apparel,in_store,credit,tier_3,7.5,,0,0,1,0.379,317,466,1119,3.1,0
TXN55549717,T10629,474.0,720.45,359,15,restaurants,in_store,credit,tier_1,1.6,,0,0,1,0.097,-1,189,1107,3.4,0
TXN19479578,T10628,9059.7,18861.13,149,7,apparel,in_store,credit,tier_1,0.6,,0,1,1,0.205,244,134,1101,4.0,1
TXN54455563,T11646,500.0,3497.36,113,21,cash_withdrawal,atm,credit,tier_2,1.7,,0,0,1,0.49,-1,368,1115,3.4,0
TXN38446658,T11776,29987.0,21333.99,3125,16,gift_cards,online,debit,tier_3,99.3,0.787,0,0,1,0.272,-1,469,1116,4.2,1
TXN31513487,T11184,1484.4,,6,19,crypto_exchange,online,debit,tier_1,4194.7,0.917,0,0,1,0.285,220,321,1116,4.2,1
TXN06458974,T12282,412.0,494.5,4000,13,grocery,online,credit,tier_2,41.4,0.643,0,0,2,0.229,127,59,1106,3.1,0
TXN78383982,T10042,281.75,397.8,90,19,pharmacy,in_store,debit,tier_2,39.1,,0,0,1,0.57,245,107,1114,4.0,0
TXN53119978,T11180,22515.81,45811.15,184,15,electronics,online,credit,tier_2,,0.887,0,0,1,0.11,-1,185,1103,4.2,0
TXN88608912,T11873,1299.69,3030.78,133,19,restaurants,in_store,prepaid,tier_2,,,0,0,2,0.36,679,62,1120,4.5,1
TXN66322484,T12207,2546.0,,43,15,entertainment,contactless,credit,tier_2,4.4,,0,1,1,0.142,-1,494,1107,4.2,0
TXN93963867,T10349,9000.0,40225.82,611,13,utilities,online,debit,tier_2,15.2,,0,0,2,0.377,-1,32,1124,4.2,1
TXN99097652,T11787,209.78,254.36,519,15,electronics,online,debit,tier_2,,0.935,0,0,1,0.149,-1,335,1117,4.5,0
TXN15385611,T12255,3439.0,1480.85,573,15,money_transfer,online,debit,tier_1,11.9,0.804,0,0,3,0.131,-1,335,1115,3.1,0
TXN29775789,T10639,1994.0,3833.61,1112,17,gift_cards,online,credit,tier_1,143.5,0.791,0,0,2,0.403,12,43,1108,4.0,1
TXN65974458,T10188,2629.88,2552.13,194,8,home_improvement,in_store,credit,tier_1,1.2,,0,0,1,0.499,-1,365,1112,4.5,0
TXN34910868,T11104,20016.0,9226.97,277,18,fuel,contactless,prepaid,tier_1,7.3,,0,0,1,0.166,-1,81,1111,4.0,0
TXN96072113,T11592,1636.0,1925.72,125,12,money_transfer,online,credit,tier_3,4.3,0.728,0,0,2,0.059,29,84,1122,4.2,0
TXN32513446,T10070,1332.0,533.85,108,10,grocery,online,credit,tier_2,114.5,0.716,0,0,1,0.529,-1,164,1114,4.0,1
TXN03943210,T10337,4988.55,3083.66,179,7,restaurants,in_store,prepaid,tier_1,21.7,,0,0,1,0.444,-1,355,1123,3.1,1
TXN77370032,T10775,32392.52,,1187,12,restaurants,contactless,debit,tier_2,3.3,,0,0,1,0.34,-1,35,1116,3.4,0
TXN74309936,T11785,9232.0,,334,18,travel,in_store,debit,tier_3,1.4,,0,1,3,0.229,-1,154,1110,4.0,1
TXN16627863,T11727,1156.0,697.66,414,15,apparel,in_store,debit,tier_1,6.4,,0,0,1,0.467,25,459,1104,4.2,1
TXN20789310,T12070,227071.97,64549.16,422,16,grocery,contactless,credit,tier_3,4.4,,0,0,1,0.106,-1,343,1101,4.0,0
TXN23495148,T10647,11915.0,,73,18,grocery,contactless,debit,tier_1,10.5,,0,1,3,0.585,-1,383,1110,3.4,1
TXN05594082,T10395,610.0,,66,10,entertainment,online,credit,tier_1,4.2,0.897,0,0,1,0.621,31,68,1123,3.4,1
TXN04740775,T11682,90430.2,252.71,1942,19,apparel,contactless,debit,tier_1,,,0,0,1,0.352,-1,391,1124,4.2,0
TXN14360067,T10825,1452.21,1260.91,286,22,entertainment,online,credit,tier_3,49.9,0.943,0,0,2,0.423,139,423,1115,4.0,1
TXN88344306,T12042,54649.0,19528.66,653,18,entertainment,contactless,credit,tier_2,,,0,1,3,0.559,-1,27,1107,3.1,1
TXN57284729,T10275,1249.0,,76,22,gift_cards,online,credit,tier_2,2.2,0.788,0,0,3,0.239,-1,307,1108,4.0,1
TXN62538336,T12037,387.0,140.88,129,14,money_transfer,online,credit,tier_2,23.9,,0,0,1,0.417,720,423,1123,4.0,1
TXN58717788,T11734,1508.81,2394.7,194,18,fuel,in_store,credit,tier_2,7.5,,0,0,2,0.178,-1,348,1117,4.2,0
TXN86366176,T11546,792.16,,54,19,money_transfer,online,credit,tier_2,43.8,,0,0,3,0.398,-1,105,1120,3.1,1
TXN68147386,T11572,6657.0,17584.29,318,10,electronics,contactless,credit,tier_2,,,0,0,2,0.119,-1,292,1122,4.2,1
TXN09910843,T11994,293.65,325.91,197,15,home_improvement,in_store,credit,tier_2,2.9,,0,0,2,0.129,-1,324,1116,3.1,0
TXN18681350,T10533,5000.0,2504.88,96,16,travel,online,debit,tier_1,25.6,0.716,0,0,2,0.307,-1,468,1124,3.1,1
TXN21804772,T10550,7133.68,2907.47,323,14,apparel,in_store,credit,tier_2,0.7,,0,0,1,0.172,-1,64,1101,4.0,0
TXN81927711,T10499,72600.0,2830.65,2003,13,cash_withdrawal,atm,credit,tier_2,8.9,,0,0,1,0.183,-1,497,1104,4.2,0
TXN20724422,T12458,295.0,672.33,249,18,restaurants,in_store,credit,tier_1,,,1,0,1,0.287,70,423,1102,3.1,1
TXN81053118,T12493,3500.0,2013.95,143,11,cash_withdrawal,atm,debit,tier_3,5.2,,0,0,2,0.121,-1,235,1115,3.1,0
TXN07204057,T12037,1786.03,650.04,238,14,jewellery,in_store,debit,tier_2,4.4,,0,1,1,0.146,391,373,1102,3.4,0
TXN59045977,T11867,18225.76,46035.13,2450,17,grocery,in_store,prepaid,tier_1,,,0,0,1,0.243,-1,76,1105,4.2,1
TXN62082627,T10531,13004.0,40300.22,674,18,home_improvement,contactless,credit,tier_3,9.1,,0,0,1,0.454,-1,155,1104,3.4,0
TXN10231462,T12190,5246.0,6559.74,329,15,utilities,contactless,debit,tier_1,3.1,,0,1,1,0.337,-1,260,1121,3.4,0
TXN71209082,T10925,205.84,317.36,124,10,electronics,in_store,credit,tier_1,1.7,,0,0,1,0.203,-1,464,1102,4.2,0
TXN81402198,T11315,15147.0,,70,13,grocery,in_store,credit,tier_3,2.1,,0,0,1,0.157,-1,415,1113,4.2,0
TXN70911678,T10509,1382.0,1132.93,169,8,entertainment,online,credit,tier_2,11.3,0.707,0,0,2,0.324,214,372,1121,4.0,1
TXN50551236,T12258,3169.0,,297,18,gaming,online,credit,tier_1,154.8,0.697,0,0,3,0.045,-1,254,1112,3.1,0
TXN58624343,T11368,4451.23,6660.69,102,16,home_improvement,in_store,debit,tier_3,12.3,,0,0,2,0.416,-1,435,1108,4.0,0
TXN30854472,T11767,68.0,,83,10,restaurants,in_store,debit,tier_1,2.1,,0,0,1,0.303,26,243,1111,3.1,0
TXN40851798,T11784,11981.0,6536.83,1461,21,travel,online,debit,tier_1,4.6,0.737,0,0,1,0.257,38,318,1122,4.2,1
TXN66604762,T11950,15127.62,4740.81,205,10,restaurants,online,debit,tier_2,22.1,0.649,0,0,2,0.111,390,483,1117,4.0,1
TXN82109465,T12123,12066.0,12100.58,862,15,travel,online,debit,tier_2,18.3,0.888,0,0,1,0.648,-1,374,1123,4.2,0
TXN12780796,T10258,1500.0,880.79,668,8,grocery,in_store,debit,tier_2,,,0,0,1,0.196,-1,355,1119,4.0,0
TXN34238362,T11437,2751.37,2244.17,219,17,restaurants,in_store,debit,tier_1,3.5,,0,0,1,0.351,21,406,1122,3.1,1
TXN79277037,T11543,16069.43,44389.08,380,18,grocery,in_store,debit,tier_1,9.2,,0,0,1,0.364,430,492,1115,4.5,0
TXN15194265,T11292,4114.51,2236.2,1128,19,grocery,in_store,credit,tier_1,12.2,,0,0,1,0.415,298,166,1108,4.2,1
TXN70481185,T10359,500.0,160.15,506,21,entertainment,online,credit,tier_2,280.9,0.828,0,0,1,0.255,-1,307,1115,3.4,1
TXN61720362,T10076,4133.0,4809.69,116,6,restaurants,in_store,debit,tier_1,1.9,,0,0,2,0.506,-1,46,1116,4.2,1
TXN28659676,T10118,1713.69,4170.99,478,22,apparel,contactless,credit,tier_3,3.3,,0,1,1,0.069,-1,38,1114,4.5,0
TXN91013509,T11990,1913.0,,30,13,travel,online,credit,tier_1,4.8,,0,0,1,0.29,-1,196,1114,3.4,0
TXN14491281,T10441,5462.12,5196.12,1256,16,gift_cards,in_store,debit,tier_1,6.8,,0,0,3,0.266,-1,111,1110,4.0,0
TXN55461968,T11129,205.33,152.96,366,23,pharmacy,online,credit,tier_1,86.9,,0,0,1,0.36,-1,217,1104,4.2,1
TXN83446993,T11795,454293.25,,382,13,restaurants,in_store,credit,tier_1,2.3,,0,0,1,0.252,1075,349,1102,4.2,1
TXN93837649,T11286,12692.43,12134.13,155,16,restaurants,in_store,debit,tier_1,2748.3,,1,0,1,0.26,-1,118,1111,4.2,1
TXN46920052,T12422,283.0,455.31,1088,14,grocery,in_store,credit,tier_1,7.9,,0,0,1,0.082,-1,69,1113,3.4,0
TXN09256817,T10723,1980.0,1755.7,593,14,travel,online,debit,tier_1,,0.79,0,0,2,0.36,-1,294,1123,3.1,1
TXN88381678,T11053,93.47,150.53,590,15,jewellery,contactless,debit,tier_3,,,0,1,1,0.326,181,117,1104,4.0,1
TXN10478830,T11604,12941.0,5144.82,155,23,apparel,contactless,debit,tier_1,,,0,0,1,0.72,-1,441,1124,4.5,1
TXN33477336,T11400,982.1,1361.89,645,9,entertainment,online,credit,tier_1,146.6,,0,0,1,0.213,-1,268,1120,4.0,1
TXN80504722,T10959,27205.0,12438.14,554,20,money_transfer,in_store,credit,tier_2,73.1,,0,0,2,0.21,-1,65,1123,4.5,1
TXN72219799,T12013,54759.32,42164.73,989,23,travel,online,debit,tier_1,76.0,,0,0,2,0.387,69,94,1120,4.2,1
TXN59878502,T11579,1000.0,635.88,443,14,electronics,in_store,debit,tier_2,1.8,,0,0,3,0.623,-1,39,1101,4.0,1
TXN55157858,T12030,11045.0,,59,11,gift_cards,online,prepaid,tier_3,6.4,,0,0,1,0.236,-1,419,1112,3.1,1
TXN36425184,T10874,29384.73,19031.32,277,18,fuel,contactless,debit,tier_1,3.6,,0,1,1,0.2,-1,270,1103,4.5,0
TXN84991350,T11811,492.0,863.6,563,14,home_improvement,in_store,credit,tier_3,6.2,,0,0,1,0.096,40,281,1119,3.4,1
TXN90318726,T10055,12294.0,,70,10,electronics,online,credit,tier_3,40.9,,0,0,1,0.244,-1,201,1116,4.0,1
TXN81097221,T10416,500.0,127.32,340,0,gaming,online,debit,tier_2,72.2,0.732,0,0,3,0.132,-1,336,1108,3.1,1
TXN38243407,T10755,490.02,642.73,193,10,restaurants,in_store,credit,tier_2,5.7,,0,1,1,0.387,-1,329,1112,4.0,0
TXN43125365,T12105,99.0,670.4,220,16,travel,in_store,debit,tier_2,2.4,,0,0,2,0.395,-1,466,1116,3.1,1
TXN49769317,T10278,600.0,,38,9,cash_withdrawal,atm,credit,tier_1,,,0,1,1,0.448,226,440,1118,4.2,1
TXN61756706,T10664,5126.0,2915.29,1883,20,utilities,online,debit,tier_2,23.9,0.802,0,0,1,0.666,244,435,1115,4.5,1
TXN90674589,T12371,3825.0,,195,22,grocery,in_store,debit,tier_2,18.1,,0,0,1,0.273,35,388,1114,4.2,1
TXN91240574,T10659,250.37,541.57,349,0,pharmacy,in_store,debit,tier_2,1405.8,,1,0,2,0.143,-1,140,1101,3.1,1
TXN83990370,T11601,3500.0,1287.35,529,10,money_transfer,online,debit,tier_2,24.1,0.512,0,0,1,0.727,-1,13,1122,4.2,1
TXN21518619,T11312,3187.75,1788.71,1832,19,fuel,in_store,debit,tier_2,3.0,,0,0,1,0.092,-1,373,1105,4.5,0
TXN52258236,T12128,6000.0,2551.2,421,10,grocery,in_store,credit,tier_3,9.6,,0,0,2,0.298,461,54,1103,3.1,1
TXN77032964,T11366,16367.95,9873.11,128,17,pharmacy,in_store,credit,tier_2,2.8,,0,0,3,0.533,280,35,1105,3.1,1
TXN58515768,T11965,2875.03,3445.17,147,13,grocery,contactless,debit,tier_1,30.3,,0,0,1,0.132,-1,363,1107,3.1,0
TXN97717490,T11850,65224.11,30514.67,354,12,restaurants,contactless,debit,tier_3,2.7,,0,0,1,0.132,-1,495,1109,3.4,0
TXN56261977,T12263,2132.64,6958.2,3353,19,gift_cards,online,credit,tier_3,17.1,0.565,0,0,5,0.142,12,437,1121,3.4,1
TXN10280586,T10110,1500.0,2754.44,120,13,cash_withdrawal,atm,debit,tier_1,3.0,,0,0,2,0.128,36,104,1103,4.5,0
TXN58010756,T11544,199.13,661.15,634,15,entertainment,online,debit,tier_3,3158.5,0.893,1,0,1,0.085,-1,72,1117,4.0,1
TXN18085588,T11942,419.05,1074.0,169,9,restaurants,online,credit,tier_1,511.2,0.805,0,0,1,0.378,-1,346,1119,4.5,0
TXN30527877,T11452,45747.24,18320.87,348,7,travel,online,debit,tier_2,38.2,,0,0,1,0.101,-1,421,1108,4.0,1
TXN12507103,T10756,1000.0,1213.31,1007,2,grocery,in_store,debit,tier_1,,,0,0,2,0.531,567,237,1117,4.0,1
TXN70231445,T11081,13373.0,4849.69,2977,9,electronics,online,debit,tier_1,13.9,0.957,0,0,1,0.393,-1,473,1121,4.0,1
TXN90923513,T12438,3743.32,2260.43,429,6,utilities,online,debit,tier_1,2.6,0.881,0,0,1,0.263,-1,481,1118,4.5,0
TXN99402918,T11634,11889.6,,92,21,fuel,in_store,credit,tier_1,9.1,,0,0,2,0.156,-1,189,1110,4.5,0
TXN27450648,T10030,6652.09,,34,17,electronics,in_store,debit,tier_1,4.7,,0,0,4,0.259,-1,479,1113,3.4,1
TXN56138372,T10618,589.0,,57,16,entertainment,online,credit,tier_1,19.6,0.57,0,0,1,0.495,-1,76,1103,4.2,1
TXN55393706,T11105,773.81,633.82,341,18,utilities,online,credit,tier_1,12.9,0.912,0,0,1,0.441,128,454,1101,4.5,0
TXN45596423,T10167,4370.0,1417.67,3404,19,restaurants,contactless,credit,tier_1,6.4,,0,0,2,0.313,331,161,1124,4.2,0
TXN89308543,T11129,470.69,,29,21,electronics,online,credit,tier_3,35.8,0.812,0,0,1,0.479,-1,368,1119,3.4,1
TXN77236102,T12284,2500.0,1962.27,150,11,pharmacy,in_store,credit,tier_1,1.6,,0,0,1,0.309,-1,127,1105,3.4,1
TXN20293813,T11231,2386.0,1276.92,476,21,grocery,in_store,credit,tier_2,25.6,,0,0,1,0.572,89,202,1114,3.4,1
TXN28027814,T11455,1764.0,,52,18,money_transfer,online,credit,tier_1,2349.8,,1,0,1,0.215,-1,207,1114,4.2,1
TXN08801158,T10942,656.21,2382.05,201,12,grocery,in_store,debit,tier_1,10.8,,0,0,4,0.362,-1,382,1122,4.0,1
TXN02160197,T10020,4300.0,4452.68,199,6,cash_withdrawal,atm,debit,tier_2,2.7,,0,0,2,0.221,447,87,1115,3.1,0
TXN24175178,T11916,1692.0,1148.6,208,10,apparel,online,credit,tier_3,826.1,0.827,0,0,2,0.52,-1,56,1117,4.0,1
TXN72478046,T12201,1806.49,,737,11,fuel,in_store,debit,tier_2,1.4,,0,0,3,0.417,84,276,1122,4.2,1
TXN22936173,T12283,7958.0,3520.52,1266,11,restaurants,in_store,debit,tier_2,18.6,,0,0,4,0.416,-1,339,1114,3.4,0
TXN73251556,T10265,624.35,,37,16,entertainment,online,debit,tier_2,3.6,0.553,0,0,1,0.501,94,409,1103,3.1,1
TXN08779239,T11944,12232.12,8523.2,714,18,money_transfer,online,debit,tier_2,0.6,0.827,0,0,3,0.134,323,320,1124,4.2,0
TXN93743331,T11471,13303.0,,13,1,money_transfer,online,debit,tier_1,34.1,0.783,0,0,3,0.579,-1,90,1116,4.0,1
TXN06335915,T11206,888.32,,12,17,grocery,online,credit,tier_1,7.1,0.977,0,0,1,0.449,-1,223,1120,4.2,1
TXN24946301,T10030,2583.57,1132.28,307,17,gaming,online,debit,tier_3,520.0,0.632,0,0,1,0.443,-1,355,1116,4.2,1
TXN93420832,T10641,3393.96,3261.55,110,15,fuel,in_store,debit,tier_1,24.4,,0,0,1,0.424,-1,360,1117,3.1,0
TXN03535763,T10673,537.15,998.75,429,17,jewellery,contactless,debit,tier_2,2.9,,0,0,4,0.235,55,370,1110,3.4,0
TXN99293508,T11282,11222.19,20178.71,147,13,restaurants,in_store,debit,tier_1,1.5,,0,0,1,0.206,34,413,1112,4.2,0
TXN76495694,T11458,1784.0,2625.23,358,7,electronics,online,debit,tier_2,6.4,,0,0,6,0.056,-1,458,1109,4.5,0
TXN26375489,T11687,16371.48,,72,16,electronics,online,debit,tier_1,76.3,0.721,0,0,2,0.371,-1,31,1111,4.5,1
TXN35091255,T10499,426951.58,3011.01,98,19,gaming,online,debit,tier_3,47.6,0.567,0,0,3,0.425,-1,374,1103,4.2,1
TXN93699867,T10253,3000.0,1319.46,2088,21,crypto_exchange,online,credit,tier_2,3.3,0.886,0,0,1,0.338,-1,354,1112,3.4,1
TXN63665109,T12326,36173.0,19985.59,133,9,restaurants,in_store,debit,tier_2,4.3,,0,0,1,0.126,-1,407,1110,4.2,0
TXN39854543,T12254,900.0,,16,12,cash_withdrawal,atm,debit,tier_1,2.1,,0,0,2,0.428,-1,287,1115,4.2,1
TXN09021904,T10883,954.0,222.64,1287,8,electronics,in_store,debit,tier_3,,,0,0,2,0.715,-1,31,1122,3.4,1
TXN14787451,T11046,7087.85,,86,11,grocery,in_store,debit,tier_1,15.0,,0,0,1,0.206,30,67,1111,3.4,0
TXN37403788,T12391,1533.0,1950.59,1342,0,travel,online,credit,tier_2,44.6,,0,0,6,0.28,73,256,1117,3.4,1
TXN16497594,T11585,50900.0,6793.12,4000,13,cash_withdrawal,atm,credit,tier_2,11.4,,0,0,2,0.155,115,435,1118,4.0,0
TXN32596661,T10108,2149.48,2246.14,112,19,fuel,online,credit,tier_2,,,0,0,1,0.323,-1,197,1109,4.0,1
TXN61082043,T11669,570.0,,74,20,apparel,contactless,debit,tier_2,1.6,,0,0,1,0.561,-1,235,1118,3.1,0
TXN82906238,T10143,1196.83,,9,20,apparel,in_store,debit,tier_2,11.7,,0,0,1,0.081,-1,107,1101,4.5,0
TXN37067433,T11774,654.98,721.04,651,19,entertainment,in_store,debit,tier_2,2.3,,0,0,1,0.472,-1,408,1123,3.4,0
TXN98761945,T10354,2500.0,2915.07,940,21,cash_withdrawal,atm,debit,tier_1,10.9,,0,0,1,0.372,-1,451,1123,3.4,0
TXN40369270,T10938,14947.05,9541.01,4000,11,apparel,in_store,credit,tier_1,1.8,,0,1,2,0.365,222,499,1111,4.0,0
TXN29542807,T11094,7170.56,14842.64,718,22,gift_cards,online,credit,tier_3,7.0,,0,0,3,0.18,-1,226,1116,4.0,1
